LINKID,M0_19,M0_24,M0_30,M0_40,M0_50,M4_19,M4_24,M4_30,M4_40,M4_50,M5_19,M5_24,M5_30,M5_40,M5_50,M6_19,M6_24,M6_30,M6_40,M6_50,M7_19,M7_24,M7_30,M7_40,M7_50,M8_19,M8_24,M8_30,M8_40,M8_50,M9_19,M9_24,M9_30,M9_40,M9_50
10003_10339,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003_8410,22,26,32,41,58,0,0,0,0,0,0,0,0,0,0,22,26,32,41,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005_10338,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011_9461,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013_11185,594,741,1071,1170,1233,0,0,0,0,0,0,0,0,0,0,594,741,1071,1170,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013_5193,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015_10017,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10017_10482,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10019_10023,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10023_11243,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10025_10065,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10027_10487,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10029_10492,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10033_10494,750,832,1186,1250,1325,140,71,84,39,45,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10035_10495,750,832,1186,1250,1325,140,71,84,39,45,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10039_10497,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10039_7290,720,787,1138,1190,1247,140,71,84,39,45,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10041_10025,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10043_11051,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10045_10513,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10047_10515,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10049_3809,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10051_10049,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10052_10350,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10059_7019,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10062_10530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10063_10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10064_10062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065_10510,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10067_10217,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10068_10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10070_5853,0,0,305,269,230,0,0,0,0,0,0,0,305,269,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10071_10214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10074_3937,0,0,0,0,1008,0,0,0,0,0,0,0,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10074_3938,31,37,256,227,257,0,0,0,0,0,0,0,256,227,257,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10080_9153,99,105,99,107,250,99,105,99,107,38,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10087_10094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10089_10393,53,63,1,0,84,21,24,1,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10089_6006,0,0,0,1,17,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10092_10067,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10094_10114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10098_10092,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10106_10098,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10114_10174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10140_10685,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10147_10156,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10148_21039,12,13,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10151_10005,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10152_5268,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10155_10157,12,13,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10156_10152,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10157_10148,12,13,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10158_10147,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10161_10573,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10163_10567,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10164_10582,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10169_10140,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10172_10686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10173_10175,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10174_10172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10175_10106,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10176_10216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10177_10179,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10178_10176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10179_10391,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10183_5226,34,33,44,50,49,34,33,44,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10184_10208,85,118,422,539,657,85,118,30,38,42,0,0,392,501,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10185_10680,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10185_3737,29,32,310,302,305,29,32,2,2,14,0,0,308,299,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10186_10190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10187_10683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10188_10681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10189_10193,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10190_10188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10191_3518,7,8,221,272,258,7,8,3,5,9,0,0,217,267,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10192_10186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10193_10678,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10194_10329,85,118,30,38,42,85,118,30,38,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10194_3660,0,0,502,673,802,0,0,0,0,0,0,0,502,673,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10195_10203,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10196_10194,85,118,532,711,844,85,118,30,38,42,0,0,502,673,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10200_10185,61,71,310,302,389,29,32,2,2,14,0,0,308,299,291,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10201_10207,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10203_10201,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10206_10401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10207_10585,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10208_10187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10208_3752,85,118,422,539,657,85,118,30,38,42,0,0,392,501,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10211_10213,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10212_10584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10213_10059,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10214_10212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10215_10189,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10216_10063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10217_10177,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10235_10237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10236_4977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10237_6208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10238_6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10239_10240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10240_1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10242_10504,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10244_7532,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10246_3611,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10299_10618,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10301_10303,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10303_10622,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10309_10626,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10311_10630,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10313_10315,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10315_7948,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10317_10319,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10319_10641,473,477,849,853,776,473,477,443,463,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,389,376
10320_4561,29,31,92,98,100,29,31,29,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,68,72
10321_10373,473,477,849,853,776,473,477,443,463,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,389,376
10322_10642,29,31,92,98,100,29,31,29,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,68,72
10323_6202,473,477,849,853,776,473,477,443,463,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,389,376
10324_10651,29,31,92,98,100,29,31,29,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,68,72
10325_10327,473,477,849,853,776,473,477,443,463,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,389,376
10326_10667,29,31,92,98,100,29,31,29,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,68,72
10326_6171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10327_5739,473,477,849,853,776,473,477,443,463,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,389,376
10328_10326,29,31,92,98,100,29,31,29,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,68,72
10329_5380,85,118,30,38,42,85,118,30,38,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10330_5771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10331_10679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10333_10192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10337_10011,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10338_10052,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10339_10151,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10340_10313,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10344_10485,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10350_10337,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10368_5629,31,31,44,48,56,31,31,44,48,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10373_10649,473,477,849,853,776,473,477,443,463,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,389,376
10374_10512,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10390_10178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10391_10089,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10392_10390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10393_10703,53,63,1,0,84,21,24,1,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10397_5658,19,20,31,34,35,19,20,31,34,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10401_10331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10449_10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10466_7237,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10468_9189,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10470_10468,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10482_10344,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10485_10019,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10487_10490,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10490_10029,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10492_10033,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10494_10035,750,832,1186,1250,1325,140,71,84,39,45,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10495_10039,750,832,1186,1250,1325,140,71,84,39,45,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10497_10498,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10498_10499,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10499_10242,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10504_10244,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10506_10507,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10507_10374,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10509_10041,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10510_10043,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10512_10246,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10513_10047,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10515_10051,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10530_7074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10533_7040,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10567_10161,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10571_10158,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10573_10571,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10576_10163,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10578_10580,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10580_10576,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10582_10578,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10584_10206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10585_10211,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10618_10619,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10619_10301,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10622_10624,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10624_10309,211,231,237,242,224,211,231,237,242,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
