LINKID,M0_19,M0_24,M0_30,M0_40,M0_50,M4_19,M4_24,M4_30,M4_40,M4_50,M5_19,M5_24,M5_30,M5_40,M5_50,M6_19,M6_24,M6_30,M6_40,M6_50,M7_19,M7_24,M7_30,M7_40,M7_50,M8_19,M8_24,M8_30,M8_40,M8_50,M9_19,M9_24,M9_30,M9_40,M9_50
22333_24157,0,0,90,137,151,0,0,90,137,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22336_22339,0,0,90,137,150,0,0,90,137,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22337_22340,0,0,108,144,169,0,0,108,144,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22338_23960,0,0,103,138,161,0,0,103,138,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22339_22340,0,0,90,137,150,0,0,90,137,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22340_25676,0,0,204,289,331,0,0,204,289,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22342_22445,0,0,83,121,150,0,0,83,121,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22343_22344,0,0,15,38,94,0,0,15,38,24,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22343_25026,0,0,12,31,45,0,0,12,31,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22343_25241,0,0,8,17,45,0,0,8,17,7,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22344_24334,0,0,15,37,93,0,0,15,37,24,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22345_24770,0,0,787,1106,1208,0,0,190,271,314,0,0,338,541,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,293,303
22345_26611,0,0,628,872,933,0,0,0,0,0,0,0,340,543,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,328,339
22346_25751,0,0,628,872,933,0,0,0,0,0,0,0,340,543,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,328,339
22346_26610,0,0,628,872,933,0,0,0,0,0,0,0,340,543,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,328,339
22351_24937,67,88,0,0,0,67,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22352_24521,0,0,392,575,676,0,0,0,0,0,0,0,208,361,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,214,250
22352_24598,0,0,628,872,933,0,0,0,0,0,0,0,340,543,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,328,339
22357_23605,58,82,0,0,0,58,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22358_24161,48,57,289,263,364,48,57,289,263,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22358_30039,48,57,289,263,364,48,57,289,263,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22362_24005,0,0,628,872,933,0,0,0,0,0,0,0,340,543,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,328,339
22362_24519,0,0,236,297,256,0,0,0,0,0,0,0,132,182,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,114,89
22364_24010,272,296,485,546,557,272,296,17,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,528,537
22364_24163,267,292,467,528,537,267,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,528,537
22366_22231,0,0,8,5,12,0,0,8,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22366_22369,297,316,498,552,571,297,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,552,571
22366_24010,262,285,511,565,587,262,285,12,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,552,571
22372_25729,337,350,511,565,873,337,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,565,873
22373_22374,0,0,145,134,165,0,0,145,134,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22373_22378,0,0,17,22,20,0,0,17,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22373_22416,0,0,156,133,177,0,0,156,133,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22374_22375,0,0,145,134,165,0,0,145,134,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22375_22377,186,201,127,118,159,186,201,127,118,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22375_22400,186,201,0,0,0,186,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22376_22377,186,201,131,120,169,186,201,131,120,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22376_24182,186,201,122,113,160,186,201,122,113,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22388_22389,17,19,691,771,1001,17,19,65,73,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,698,925
22388_25729,353,368,511,565,873,353,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,565,873
22388_25737,350,362,0,0,0,350,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22389_25727,17,19,665,744,939,17,19,41,49,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,695,888
22390_25726,17,19,79,121,121,17,19,79,121,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22391_22393,372,385,0,0,0,372,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22391_25737,350,362,0,0,0,350,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22392_25725,14,16,67,102,99,14,16,67,102,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22393_22394,372,385,0,0,0,372,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22394_22395,433,445,0,0,0,433,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22394_24191,0,0,55,84,79,0,0,55,84,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22395_22397,433,444,0,0,0,433,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22396_25719,0,0,48,72,67,0,0,48,72,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
